year,share_Camino_Portugues_Costa,share_Camino_Frances,total_pilgrims,pct_women,diversity_core,share_Via_de_la_Plata,share_challenge,via_podiensis_fr_summer_temp_lag1,temp_anomaly_camino_frances,temp_anomaly_camino_norte,temp_anomaly_camino_portugues,temp_anomaly_camino_portugues_costa,temp_anomaly_via_podiensis_fr,ratio_sequential,sanitary_regime,trends_PT_lag2,trends_KR_lag0,trends_KR_lag1,trends_FR_lag0,trends_DE_lag1,trail_countries_lag1,trail_finishers_lag0,challenge_routes_share,accessibility_routes_share,phase_regime,growth_momentum_avg,frances_saturation,holy_year,holy_year_compound,post_covid_regime,deferred_demand,yoy_growth_lag1,via_podiensis_fr_summer_temp_lag1_dt,ratio_sequential_dt,trends_PT_lag2_dt,trends_KR_lag0_dt,trends_KR_lag1_dt,trends_FR_lag0_dt,trends_DE_lag1_dt,trail_finishers_lag0_dt,trail_countries_lag1_dt,diversity_core_dt
2014,0.0,0.6809520007731644,237983,45.98,0.5008957438190991,0.035679019089598835,0.13385409882218477,19.71666666666667,-0.5649206349206347,-0.3115873015872997,-0.9847619047619034,-0.5500000000000007,-0.5479365079365053,0.8868,0,36.67,18.67,14.17,40.33,47.5,8.0,1811.0,0.13385409882218477,0.03025426185904035,2,1.3841514492857983,1,0,0,0,970.0000000372529,0.1215,-0.19437593984966384,0.003214285714290277,5.016228070173312,5.059047619048144,1.814721804510027,0.7666666666674047,-1.4053308270677007,761.5498059509555,12.146923783288912,-0.016891007340747333
2015,0.0,0.6561238172149507,262516,47.07,0.5296264835421572,0.03512547806609883,0.1391229486964604,19.39,0.5884126984126988,0.37174603174603266,0.28523809523809734,0.22666666666666657,0.4620634920634951,0.9018999999999999,0,37.67,19.08,18.67,45.17,50.83,2.0,786.0,0.1391229486964604,0.035224519648326194,2,1.4164075642494276,1,0,0,0,970.0000000372529,0.1024,-0.5816240601504177,0.0117925974026023,3.0636842105240447,3.868086580087109,4.5842781954874425,3.8837835497842406,2.185330827067631,-449.59702457947424,2.9944903581281324,-0.010189295731282244
2016,0.009357432320571235,0.633696113786377,277854,48.16,0.5537229242244112,0.03263224571177669,0.13836403290936966,20.400000000000002,0.3050793650793662,0.23507936507936478,0.9219047619047641,0.7400000000000008,-0.057936507936505656,0.9142,0,40.92,16.42,19.08,39.83,49.92,1.0,1633.0,0.13836403290936966,0.044278649938456885,2,inf,0,0,0,0,4423.600000068545,0.1031,0.36779448621549804,0.017570909090912745,3.3611403508756865,-0.39287445887391925,3.263834586464853,-3.1790995670989304,1.5359924812030812,211.25614489015425,-1.1579430670326474,-0.008121883162621413
2017,0.024345925404270587,0.6003833428560039,301036,49.12,0.5875175400904173,0.030355173467625136,0.13506358043556252,19.88,0.5250793650793663,0.18841269841269911,0.49190476190476434,0.2533333333333327,0.2887301587301607,0.9251,0,46.0,24.58,16.42,41.67,51.58,2.0,1284.0,0.13506358043556252,0.06195272326233407,2,2.4274611292992225,0,0,0,0,6657.600000098348,0.0584,-0.21278696741859093,0.0219492207792249,5.488596491226417,6.166164502165046,-1.12660902255773,-3.0619826839820945,3.456654135338411,-323.8906856402755,-3.310376492193427,0.0036437045897987907
2018,0.04227834491016501,0.5687584382579159,327378,50.35,0.6186523531726802,0.02787908778231891,0.13197282651858097,20.226666666666667,0.26841269841269977,0.5617460317460328,-0.27142857142856985,0.06333333333333376,0.9820634920634935,0.9349,0,47.0,27.83,24.58,44.17,53.17,1.0,1710.0,0.13197282651858097,0.08550055287771323,3,1.709034624633075,0,0,0,0,6657.600000098348,0.0834,0.07329824561399079,0.02522753246753695,3.5360526315771494,7.815203463204014,5.30294736841968,-2.284865800865262,5.307315789473748,-84.037516170647,-7.462809917354207,0.012749489558468552
2019,0.08212828642617517,0.5142936881052808,347566,52.24,0.6668290820071179,0.030771134115534893,0.15532589493793986,20.919999999999998,0.0684126984126993,-0.08492063492063313,-1.0814285714285699,-0.9533333333333326,0.40539682539682786,0.9283,0,51.83,44.17,27.83,49.83,58.17,7.0,1489.0,0.15532589493793986,0.12412318811391218,3,1.6309749093401689,0,0,0,0,6657.600000098348,0.0875,0.7060501253132365,0.012105844155847367,5.41350877192788,22.554242424242986,6.822503759397094,1.652251082251567,10.567977443609081,-491.1843467010767,-4.615243342514987,0.038897190279313154
2020,0.09141766852527648,0.44995646777689274,53983,51.95,0.7016443422634895,0.026971453976251784,0.14610155048811663,20.343333333333334,-0.14158730158730037,-0.06492063492063475,0.21523809523809825,0.18666666666666742,-0.0012698412698396073,0.9236,1,53.75,15.08,44.17,46.75,54.08,,,0.14610155048811663,0.12848489339236427,3,0.19352437827185795,0,0,0,0,321831.8000001237,0.0617,0.06880200501248623,0.0008841558441594621,4.380964912279524,-8.136718614718047,21.43206015037451,-3.150632034631599,6.738639097744411,,,0.051683422422091674
2021,0.10505078138357897,0.47527043508987904,175458,52.63,0.6881658409816597,0.01873382803861893,0.13510925691618508,19.936666666666667,-0.708253968253968,-0.751587301587301,-0.8047619047619025,-0.7400000000000008,-0.6546031746031721,0.9284,1,66.25,14.75,15.08,51.25,42.58,7.0,1138.0,0.13510925691618508,0.13714963125078367,3,0.7495310578145871,0,1,1,0,537493.4000001475,-0.8447,-0.3984461152882659,-0.0008375324675301554,13.928421052630256,-10.067679653679079,-9.388383458648077,-0.37351515151476633,-4.500699248120256,-1214.478007761878,-10.920110192836546,0.016175893026668775
2022,0.11944300550650488,0.4879908901916665,438209,52.95,0.6806385099938103,0.022537191157643955,0.12884719391888347,19.283333333333335,1.381746031746033,0.9517460317460333,1.0985714285714299,0.896666666666666,1.7387301587301611,0.9305,1,34.67,25.08,14.75,56.83,35.42,12.0,1977.0,0.12884719391888347,0.15110826112654008,3,2.184731338064532,0,0,0,1,537493.4000001475,2.2502,-1.1123609022556842,-0.005259220779218032,-20.60412280701901,-1.338640692640567,-11.448827067670663,3.4836017316020644,-11.40003759398492,-561.6248382922495,-9.072543617997326,-0.013380466074773723
2023,0.13941679314697197,0.46976915195796,446051,53.16,0.6971014542738059,0.020024616019244434,0.12907268451365428,21.676666666666666,0.9050793650793653,1.015079365079366,0.7419047619047644,0.6033333333333329,0.9787301587301608,0.9318000000000001,0,47.5,24.75,25.08,62.92,42.67,27.0,3195.0,0.12907268451365428,0.17152298728172338,3,2.045866256460282,0,0,0,1,537493.4000001475,1.4975,1.2203909774435608,-0.010480909090907597,-10.72666666666828,-3.269601731601597,-2.8492706766932514,7.8507186147189,-3.889375939849586,470.2283311773208,2.7750229568418945,-0.018946549908364085
2024,0.17930991654413386,0.4594860432784573,499186,53.08,0.702285526126061,0.015332962062237322,0.11644757665479401,20.916666666666668,0.36507936507936617,0.2217460317460329,0.2619047619047639,0.2766666666666673,-0.06793650793650485,0.9308,0,58.42,21.42,24.75,54.17,42.92,46.0,4205.0,0.11644757665479401,0.20982759933171202,3,1.3986080719483953,0,0,0,1,537493.4000001475,0.0179,0.399809523809477,-0.018002597402595577,-2.759210526316636,-8.200562770562627,-4.909714285715836,-2.622164502164267,-3.3787142857142527,1294.081500646891,18.622589531681115,-0.03579150616970206
